beta,seed,n,k,lag,real,imag
1.0001,5,200000,4,4096,0.05200619024437772,0.0018913198550080548
1.0001,5,1000000,4,1,0.9992042644523261,-2.515156823185246e-06
1.0001,5,1000000,4,64,0.9498217958913262,-0.0002984684790553707
1.0001,5,1000000,4,1024,0.42414690800986005,-0.00573862907575138
1.0001,5,1000000,4,4096,-0.0017052077601663123,-0.015067470957584275
1.0001,6,50000,1,1,0.9998132368916677,-0.00013548405973793474
1.0001,6,50000,1,64,0.9883192068990586,-0.007974459899462069
1.0001,6,50000,1,1024,0.8466227328706767,-0.10202580359986584
1.0001,6,50000,1,4096,0.5191380954937341,-0.2376012114383541
1.0001,6,200000,1,1,0.9997881949125164,-2.2105806986313283e-05
1.0001,6,200000,1,64,0.9867027517444106,-0.001017843410575671
1.0001,6,200000,1,1024,0.8121198434684749,0.0003417989703626493
1.0001,6,200000,1,4096,0.43717146002811497,0.0029283552142532815
1.0001,6,1000000,1,1,0.9998245498740095,1.7115053263625416e-07
1.0001,6,1000000,1,64,0.9889335875624807,9.923027810103617e-05
1.0001,6,1000000,1,1024,0.8384221886618424,0.004920900490657901
1.0001,6,1000000,1,4096,0.5049423843332465,0.021547356282100465
1.0001,6,50000,4,1,0.9995455902023185,-0.0010572706559295233
1.0001,6,50000,4,64,0.9691844600726649,-0.06265246786862501
1.0001,6,50000,4,1024,0.4902110422228907,-0.37025525208295107
1.0001,6,50000,4,4096,-0.23010944841388775,-0.176477530999085
1.0001,6,200000,4,1,0.9991922293479177,-0.0001996729108857889
1.0001,6,200000,4,64,0.9496946776745017,-0.01184992389034525
1.0001,6,200000,4,1024,0.4038575545892856,-0.02520992447425056
1.0001,6,200000,4,4096,-0.07143989829710205,0.04590851143481431
1.0001,6,1000000,4,1,0.9993484022200283,-4.321703398713789e-06
1.0001,6,1000000,4,64,0.9590369676814038,-0.00025687662936077374
1.0001,6,1000000,4,1024,0.5282816490902509,0.007446185725158309
1.0001,6,1000000,4,4096,0.1239440716747418,0.007670696666589215
1.0001,7,50000,1,1,0.9997748004753514,4.9795518459579115e-05
1.0001,7,50000,1,64,0.9856124739085951,0.002952145388407919
1.0001,7,50000,1,1024,0.820488899951979,0.0577227370388788
1.0001,7,50000,1,4096,0.6107981502831072,0.10705504514113771
1.0001,7,200000,1,1,0.9997933531460534,1.7390559279736995e-05
1.0001,7,200000,1,64,0.986593662230705,0.0009977607661783784
1.0001,7,200000,1,1024,0.8140919939889477,0.02558024233604029
1.0001,7,200000,1,4096,0.5230781277297074,0.0777090437427538
1.0001,7,1000000,1,1,0.9998050509212222,-2.4166145514561457e-06
1.0001,7,1000000,1,64,0.9876353433853563,-0.00016936410326754417
1.0001,7,1000000,1,1024,0.8220588106996259,0.004211500678358801
1.0001,7,1000000,1,4096,0.4775503794398001,0.04850754221425521
