key,beta,dtype,scale_name,scale,start,stop,n,k,real,imag,theory,error
b1.0001_float32,1.0001,float32,fixed,1.0,0,50000,50000,8,0.701035076468533,-0.004136701093089198,0.7579552738844286,0.05707031776500017
b1.0001_float32,1.0001,float32,fixed,1.0,50000,100000,50000,1,-0.9735006400786206,-0.0216180067356217,-0.9659517806143619,0.022898111154252717
b1.0001_float32,1.0001,float32,fixed,1.0,50000,100000,50000,2,0.9486600680204101,0.04266023199518134,0.9330628424720564,0.04542211838618838
b1.0001_float32,1.0001,float32,fixed,1.0,50000,100000,50000,3,-0.9253147680234207,-0.06073372871684368,-0.9012937141109808,0.06531153676736988
b1.0001_float32,1.0001,float32,fixed,1.0,50000,100000,50000,4,0.9012584774855766,0.07762812801972727,0.8706062680020336,0.08346067460828586
b1.0001_float32,1.0001,float32,fixed,1.0,50000,100000,50000,5,-0.8776345417005755,-0.0920390933864349,-0.8409636747905886,0.09907546210503819
b1.0001_float32,1.0001,float32,fixed,1.0,50000,100000,50000,6,0.853278778577391,0.10563123093148778,0.8123303590959663,0.11329046741066974
b1.0001_float32,1.0001,float32,fixed,1.0,50000,100000,50000,7,-0.8294431234477965,-0.11685010126933511,-0.7846719568158528,0.12513354277826205
b1.0001_float32,1.0001,float32,fixed,1.0,50000,100000,50000,8,0.8057116800648704,0.1259836070348386,0.7579552738844286,0.13473137560635223
b1.0001_float32,1.0001,float32,fixed,1.0,100000,150000,50000,1,-0.9607209342660917,0.006676609538134464,-0.9659517806143619,0.008481678397812534
