beta,name,seed,center,lambda0,estimate,target
1.0001,q-1.0,4,-0.03304197199764901,0.05404887392333716,-0.01483385920353434,-0.03444136656343575
1.0001,q-0.25,4,-0.03304197199764901,0.05404887392333716,0.010997165719042475,-0.008610341640858938
1.0001,q0.0,4,-0.03304197199764901,0.05404887392333716,0.019607507359901417,0.0
1.0001,q0.25,4,-0.03304197199764901,0.05404887392333716,0.028217849000760346,0.008610341640858938
1.0001,q0.75,4,-0.03304197199764901,0.05404887392333716,0.045438532282478225,0.025831024922576815
1.0001,one_step,4,-0.03304197199764901,0.05404887392333716,,
1.0001,uncoupled,5,-0.009493544996553709,0.04164547308794853,0.04164547308794853,0.03444136656343575
1.0001,q-1.0,5,-0.009493544996553709,0.04164547308794853,-0.027237260038922968,-0.03444136656343575
1.0001,q-0.25,5,-0.009493544996553709,0.04164547308794853,-0.0014062351163461537,-0.008610341640858938
1.0001,q0.0,5,-0.009493544996553709,0.04164547308794853,0.007204106524512789,0.0
1.0001,q0.25,5,-0.009493544996553709,0.04164547308794853,0.015814448165371718,0.008610341640858938
1.0001,q0.75,5,-0.009493544996553709,0.04164547308794853,0.0330351314470896,0.025831024922576815
1.0001,one_step,5,-0.009493544996553709,0.04164547308794853,,
1.0001,uncoupled,6,-0.05152282720253769,0.039723756279021874,0.039723756279021874,0.03444136656343575
1.0001,q-1.0,6,-0.05152282720253769,0.039723756279021874,-0.029158976847849627,-0.03444136656343575
1.0001,q-0.25,6,-0.05152282720253769,0.039723756279021874,-0.0033279519252728124,-0.008610341640858938
1.0001,q0.0,6,-0.05152282720253769,0.039723756279021874,0.0052823897155861305,0.0
1.0001,q0.25,6,-0.05152282720253769,0.039723756279021874,0.01389273135644506,0.008610341640858938
1.0001,q0.75,6,-0.05152282720253769,0.039723756279021874,0.031113414638162938,0.025831024922576815
1.0001,one_step,6,-0.05152282720253769,0.039723756279021874,,
1.0001,uncoupled,7,-0.00991893828596974,0.045001011484046456,0.045001011484046456,0.03444136656343575
1.0001,q-1.0,7,-0.00991893828596974,0.045001011484046456,-0.023881721642825045,-0.03444136656343575
1.0001,q-0.25,7,-0.00991893828596974,0.045001011484046456,0.0019493032797517698,-0.008610341640858938
1.0001,q0.0,7,-0.00991893828596974,0.045001011484046456,0.010559644920610713,0.0
1.0001,q0.25,7,-0.00991893828596974,0.045001011484046456,0.01916998656146964,0.008610341640858938
1.0001,q0.75,7,-0.00991893828596974,0.045001011484046456,0.03639066984318752,0.025831024922576815
1.0001,one_step,7,-0.00991893828596974,0.045001011484046456,,
1.0001,uncoupled,8,-0.000986316283234039,0.021781664529608682,0.021781664529608682,0.03444136656343575
1.0001,q-1.0,8,-0.000986316283234039,0.021781664529608682,-0.04710106859726282,-0.03444136656343575
1.0001,q-0.25,8,-0.000986316283234039,0.021781664529608682,-0.021270043674686004,-0.008610341640858938
1.0001,q0.0,8,-0.000986316283234039,0.021781664529608682,-0.012659702033827061,0.0
1.0001,q0.25,8,-0.000986316283234039,0.021781664529608682,-0.004049360392968132,0.008610341640858938
1.0001,q0.75,8,-0.000986316283234039,0.021781664529608682,0.013171322888749745,0.025831024922576815
1.0001,one_step,8,-0.000986316283234039,0.021781664529608682,,
1.0001,uncoupled,9,0.2804129177952046,0.038145547501020366,0.038145547501020366,0.03444136656343575
1.0001,q-1.0,9,0.2804129177952046,0.038145547501020366,-0.030737185625851135,-0.03444136656343575
1.0001,q-0.25,9,0.2804129177952046,0.038145547501020366,-0.00490616070327432,-0.008610341640858938
1.0001,q0.0,9,0.2804129177952046,0.038145547501020366,0.0037041809375846224,0.0
1.0001,q0.25,9,0.2804129177952046,0.038145547501020366,0.012314522578443551,0.008610341640858938
1.0001,q0.75,9,0.2804129177952046,0.038145547501020366,0.02953520586016143,0.025831024922576815
1.0001,one_step,9,0.2804129177952046,0.038145547501020366,,
1.0001,uncoupled,10,0.05520207546301152,0.044160966561711,0.044160966561711,0.03444136656343575
1.0001,q-1.0,10,0.05520207546301152,0.044160966561711,-0.0247217665651605,-0.03444136656343575
1.0001,q-0.25,10,0.05520207546301152,0.044160966561711,0.0011092583574163137,-0.008610341640858938
1.0001,q0.0,10,0.05520207546301152,0.044160966561711,0.009719599998275257,0.0
1.0001,q0.25,10,0.05520207546301152,0.044160966561711,0.018329941639134185,0.008610341640858938
1.0001,q0.75,10,0.05520207546301152,0.044160966561711,0.035550624920852064,0.025831024922576815
1.0001,one_step,10,0.05520207546301152,0.044160966561711,,
1.0001,uncoupled,11,0.1444562772766911,0.03189630908801584,0.03189630908801584,0.03444136656343575
1.0001,q-1.0,11,0.1444562772766911,0.03189630908801584,-0.03698642403885566,-0.03444136656343575
1.0001,q-0.25,11,0.1444562772766911,0.03189630908801584,-0.011155399116278844,-0.008610341640858938
1.0001,q0.0,11,0.1444562772766911,0.03189630908801584,-0.0025450574754199012,0.0
1.0001,q0.25,11,0.1444562772766911,0.03189630908801584,0.006065284165439028,0.008610341640858938
1.0001,q0.75,11,0.1444562772766911,0.03189630908801584,0.023285967447156906,0.025831024922576815
1.0001,one_step,11,0.1444562772766911,0.03189630908801584,,
1.0001,uncoupled,12,0.015027797696044147,0.03267097371649631,0.03267097371649631,0.03444136656343575
1.0001,q-1.0,12,0.015027797696044147,0.03267097371649631,-0.03621175941037519,-0.03444136656343575
