beta,gamma0,x,empirical,theoretical
0.5,0.1,-0.0718901678115483,0.19561,0.19331364789941097
0.5,0.1,-0.06949845053169099,0.2006,0.19838972498254004
0.5,0.1,-0.06732219718768896,0.20559,0.20321292505390764
0.5,0.1,-0.06521991140292653,0.21058,0.20806706709619677
0.5,0.1,-0.06310471716593583,0.21557,0.21315416593898762
0.5,0.1,-0.06125977736751321,0.22056,0.2177656690938954
0.5,0.1,-0.059383861590062634,0.22555,0.22262880898568183
0.5,0.1,-0.05758866017808775,0.23054,0.227454215911495
0.5,0.1,-0.05568704600122794,0.23553,0.23275638932659126
0.5,0.1,-0.054032390080994,0.24052,0.23753604273006945
0.5,0.1,-0.05243834188965122,0.24551,0.24229229486346815
0.5,0.1,-0.050824456417020505,0.2505,0.247264658067833
0.5,0.1,-0.04924433359514592,0.25549,0.2522910916771198
0.5,0.1,-0.047786240344939605,0.26048,0.2570724933232472
0.5,0.1,-0.046201444012136675,0.26547,0.2624299354794893
0.5,0.1,-0.04479939423400967,0.27046,0.26731293314838056
0.5,0.1,-0.04334884179004595,0.27545,0.27251027786489934
0.5,0.1,-0.042057633515657375,0.28044,0.27726407177830953
0.5,0.1,-0.040782444174082534,0.28543,0.2820792164341065
0.5,0.1,-0.03946246154787349,0.29042,0.2871919528374457
0.5,0.1,-0.038190236669561714,0.29541,0.292245646510923
0.5,0.1,-0.037012852819953465,0.3004,0.29703456107599757
0.5,0.1,-0.03591519015979541,0.30539,0.3015975313520132
0.5,0.1,-0.034778559970181686,0.31038,0.306423695008125
0.5,0.1,-0.03361880529017777,0.31537,0.3114553186187925
0.5,0.1,-0.03243217835198551,0.32036,0.3167167288837548
0.5,0.1,-0.03141038946862115,0.32535,0.32133968491957865
0.5,0.1,-0.030254266697078012,0.33034,0.32667412842889487
0.5,0.1,-0.029175887915090907,0.33533,0.33174946237873404
0.5,0.1,-0.028126600155105496,0.34032,0.33678032436265504
0.5,0.1,-0.027126614847177006,0.34531,0.3416596278941928
0.5,0.1,-0.026048748263901057,0.3503,0.3470114253475274
0.5,0.1,-0.025062716431685717,0.35529,0.35199090324674387
0.5,0.1,-0.02407150357512681,0.36028,0.3570765676306127
0.5,0.1,-0.023082217474607886,0.36527,0.36223163411738735
0.5,0.1,-0.022147373306757548,0.37026,0.3671749928596861
0.5,0.1,-0.021319610357850786,0.37525,0.37160975746511776
0.5,0.1,-0.02039756862435357,0.38024,0.3766124151014646
0.5,0.1,-0.01951342659752885,0.38523,0.3814705366032908
0.5,0.1,-0.018634979587439714,0.39022,0.38635541915766697
0.5,0.1,-0.01774703014623773,0.39521,0.39135062754119
0.5,0.1,-0.016833546250905385,0.4002,0.3965482346862603
0.5,0.1,-0.01598432498660298,0.40519,0.40143210226727344
0.5,0.1,-0.01511390566824847,0.41018,0.40648811578988786
0.5,0.1,-0.014195552658828865,0.41517,0.4118757103749099
0.5,0.1,-0.013347354079601036,0.42016,0.4168982702903138
0.5,0.1,-0.012549562074534452,0.42515,0.4216613587346893
0.5,0.1,-0.011753871771364376,0.43014,0.42644783470549286
0.5,0.1,-0.010958846025667856,0.43513,0.43126437715252
0.5,0.1,-0.010146007263045653,0.44012,0.4362220979061765
0.5,0.1,-0.00930347297463235,0.44511,0.44139422360880687
0.5,0.1,-0.008477046097843305,0.4501,0.44649807631880145
0.5,0.1,-0.007664815868009805,0.45509,0.45154147338886863
0.5,0.1,-0.006840272833406657,0.46008,0.4566865129775137
0.5,0.1,-0.005964626701478926,0.46507,0.4621754135819701
0.5,0.1,-0.005210812098724273,0.47006,0.46691891868433827
0.5,0.1,-0.004418787397080309,0.47505,0.47191876434005015
0.5,0.1,-0.003635228946788289,0.48004,0.47687888100759157
0.5,0.1,-0.002838987473367361,0.48503,0.4819308192573328
0.5,0.1,-0.0020318031674789903,0.49002,0.48706149251565517
0.5,0.1,-0.0012322654662826513,0.49501,0.4921502098008633
0.5,0.1,-0.0004250165192557775,0.5,0.49729207172410955
0.5,0.1,0.00044903594282680125,0.50499,0.5028609563680306
0.5,0.1,0.0012039999875925718,0.50998,0.5076698036569093
0.5,0.1,0.0019947853903477426,0.51497,0.5127030310780077
0.5,0.1,0.002812981321787059,0.51996,0.517904011009635
0.5,0.1,0.0036223038787771234,0.52495,0.5230391991021052
0.5,0.1,0.004419306453647556,0.52994,0.5280845171547964
0.5,0.1,0.00528967897954541,0.53493,0.5335780925094995
0.5,0.1,0.006080912130727997,0.53992,0.5385548850199037
0.5,0.1,0.006930110628234235,0.54491,0.5438752190576069
0.5,0.1,0.0077091643494609455,0.5499,0.5487345579013045
0.5,0.1,0.008512832065938298,0.55489,0.5537235266739406
0.5,0.1,0.009317861955696777,0.55988,0.5586943783801374
0.5,0.1,0.010182809091906619,0.56487,0.5640030644234115
0.5,0.1,0.011024907764997038,0.56986,0.5691371001453523
0.5,0.1,0.011842583123124488,0.57485,0.5740875312601229
0.5,0.1,0.012669515537914153,0.57984,0.5790571511880209
0.5,0.1,0.013468484625401027,0.58483,0.5838216574377468
