stage,beta,gamma0,condition,seed,dtype,start,stop,status,n,median,estimated_scale,ks,tail10,tail100,theoretical_scale,lyapunov,theoretical_lyapunov,log_sensitivity
C,1.0001,0.017318949386946766,0,2,float64,0,50000,記述的評価,50000,-0.01024257569814254,0.03856962487986462,0.25548546716639675,0.09726,0.00928,0.017318949386946766,0.05103463214705901,0.03444136656343561,2551.7316073529505
C,1.0001,0.017318949386946766,0,2,float64,50000,100000,記述的評価,50000,-0.018253001056891587,0.03121309955353105,0.3886494903804616,0.09238,0.00836,0.017318949386946766,0.046138228329135035,0.03444136656343561,2306.911416456752
C,1.0001,0.017318949386946766,0,2,float64,100000,150000,記述的評価,50000,-0.0009849156264139655,0.0016097420198968482,0.26761581226863534,0.02442,0.00252,0.017318949386946766,0.013213900954921719,0.03444136656343561,660.695047746086
C,1.0001,0.017318949386946766,0,2,float64,150000,200000,記述的評価,50000,-0.014299260403204492,0.02123951102944909,0.3094436233699977,0.09204,0.00934,0.017318949386946766,0.04969068388741155,0.03444136656343561,2484.5341943705776
C,1.0001,0.017318949386946766,0,2,float32,0,200000,記述的評価,200000,0.0017178028356283903,0.01305168797262013,0.08635527517573505,0.05135,0.005315,0.017318949386946766,0.02873266688443271,0.03444136656343561,5746.533376886542
C,1.0001,0.017318949386946766,0,2,float32,0,50000,記述的評価,50000,0.002908858936280012,0.01833622343838215,0.13728542996159077,0.05086,0.00478,0.017318949386946766,0.026540649698776727,0.03444136656343561,1327.0324849388364
C,1.0001,0.017318949386946766,0,2,float32,50000,100000,記述的評価,50000,0.008350517600774765,0.005641188123263419,0.4571231804113515,0.01442,0.00164,0.017318949386946766,0.009643086621055473,0.03444136656343561,482.1543310527736
C,1.0001,0.017318949386946766,0,2,float32,100000,150000,記述的評価,50000,-0.0016879847971722484,0.006109319521783618,0.294063159422957,0.04772,0.00538,0.017318949386946766,0.027132795623415883,0.03444136656343561,1356.639781170794
C,1.0001,0.017318949386946766,0,2,float32,150000,200000,記述的評価,50000,-0.005175827303901315,0.01840534887742251,0.20308553099767468,0.0924,0.00946,0.017318949386946766,0.051614135594482774,0.03444136656343561,2580.706779724139
C,1.0001,0.017318949386946766,0,3,float64,0,200000,記述的評価,200000,-0.0034299188041461625,0.013715791395157792,0.1122998180572623,0.05992,0.006115,0.017318949386946766,0.032892586055816145,0.03444136656343561,6578.517211163229
C,1.0001,0.017318949386946766,0,3,float64,0,50000,記述的評価,50000,-0.010477220688928784,0.02546668056261421,0.2959711254214514,0.07916,0.0077,0.017318949386946766,0.042524854675884745,0.03444136656343561,2126.242733794237
C,1.0001,0.017318949386946766,0,3,float64,50000,100000,記述的評価,50000,0.0015170762738375922,0.017304008221641735,0.18099692298748193,0.09276,0.0094,0.017318949386946766,0.04914710760040525,0.03444136656343561,2457.3553800202626
C,1.0001,0.017318949386946766,0,3,float64,100000,150000,記述的評価,50000,0.0014786203882396175,0.009165917173846367,0.14650676015515418,0.05002,0.00576,0.017318949386946766,0.030251323737440886,0.03444136656343561,1512.5661868720442
C,1.0001,0.017318949386946766,0,3,float64,150000,200000,記述的評価,50000,0.0029561177118275204,0.010540467313467604,0.11668423217831997,0.01774,0.0016,0.017318949386946766,0.009647058209533694,0.03444136656343561,482.3529104766847
C,1.0001,0.017318949386946766,0,3,float32,0,200000,記述的評価,200000,0.002176490263082087,0.014513427740894258,0.07569527517573504,0.05686,0.00602,0.017318949386946766,0.03242382133891024,0.03444136656343561,6484.764267782048
C,1.0001,0.017318949386946766,0,3,float32,0,50000,記述的評価,50000,0.0024593929992988706,0.02062366669997573,0.10450542996159079,0.0675,0.00702,0.017318949386946766,0.037136487778582236,0.03444136656343561,1856.8243889291118
C,1.0001,0.017318949386946766,0,3,float32,50000,100000,記述的評価,50000,0.008346403017640114,0.00716273149009794,0.44726318041135155,0.01982,0.00222,0.017318949386946766,0.013784563170691242,0.03444136656343561,689.2281585345621
C,1.0001,0.017318949386946766,0,3,float32,100000,150000,記述的評価,50000,-0.0008515737426932901,0.013533434830605984,0.1579431594229571,0.04772,0.00538,0.017318949386946766,0.027159415677299317,0.03444136656343561,1357.9707838649658
C,1.0001,0.017318949386946766,0,3,float32,150000,200000,記述的評価,50000,-0.005175827303901315,0.01840534887742251,0.25129935289839045,0.0924,0.00946,0.017318949386946766,0.05161481872906814,0.03444136656343561,2580.740936453407
C,1.0001,0.017318949386946766,0,4,float64,0,200000,記述的評価,200000,0.0039686200379425865,0.022899145159088957,0.08304270591664398,0.085445,0.00877,0.017318949386946766,0.047416232208204394,0.03444136656343561,9483.246441640878
C,1.0001,0.017318949386946766,0,4,float64,0,50000,記述的評価,50000,0.007960406132994462,0.03166158123321637,0.14177267662543797,0.08878,0.00882,0.017318949386946766,0.04797751229078908,0.03444136656343561,2398.875614539454
C,1.0001,0.017318949386946766,0,4,float64,50000,100000,記述的評価,50000,-0.0017954765130429968,0.008492581187572405,0.1496208415869984,0.02974,0.0028,0.017318949386946766,0.016066868531972596,0.03444136656343561,803.3434265986298
C,1.0001,0.017318949386946766,0,4,float64,100000,150000,記述的評価,50000,0.006685762451356679,0.028958314474455488,0.14931148340371786,0.1396,0.01394,0.017318949386946766,0.0747447604008064,0.03444136656343561,3737.2380200403195
C,1.0001,0.017318949386946766,0,4,float64,150000,200000,記述的評価,50000,0.007913566318076461,0.02318658296379381,0.14501115545984056,0.08366,0.00952,0.017318949386946766,0.050875787609249504,0.03444136656343561,2543.789380462475
C,1.0001,0.017318949386946766,0,4,float32,0,200000,記述的評価,200000,-0.0014894044143147767,0.018666190328076482,0.0728331594229571,0.061875,0.00636,0.017318949386946766,0.03489951412120703,0.03444136656343561,6979.902824241406
C,1.0001,0.017318949386946766,0,4,float32,0,50000,記述的評価,50000,-0.011244074441492558,0.018367060692980886,0.2699323200708128,0.04952,0.00494,0.017318949386946766,0.028792342862266933,0.03444136656343561,1439.6171431133466
